time900_positive;max_V_match_fraction
295145.78;0.0
1719292.12;0.1
2435684.48;0.2
2882612.66;0.3
3153560.5;0.4
3188269.62;0.5
3094481.02;0.6
2837670.72;0.7
2421515.28;0.8
1709130.78;0.9
291534.44;1.0
