time1200_positive;max_V_match_fraction
389278.8;0.0
2328026.8;0.1
3315413.26;0.2
3934817.22;0.3
4267914.08;0.4
4322534.96;0.5
4179556.46;0.6
3836733.68;0.7
3270718.06;0.8
