time0.9_positive;len_T
110512086.16;500
135753480.08;600
154674103.56;700
182348128.68;800
202175848.02;900
206014439.46;1000
229406796.26;1100
256903983.38;1200
277758858.44;1300
317265906.84;1400
319014923.66;1500
