time0.3_positive;len_T
185680092.26;500
211379378.36;600
253644687.56;700
282722447.5;800
331167753.4;900
363187955.44;1000
387220622.2;1100
429711347.04;1200
462120810.02;1300
522980937.38;1400
531487925.62;1500
