time0.4_positive;len_T
196421495.64;500
223291745.06;600
268292245.8;700
308855477.42;800
356131919.54;900
379007899.2;1000
429186658.08;1100
460660439.28;1200
499526054.06;1300
557995754.74;1400
574387249.9;1500
