time0.5_positive;len_T
199806730.6;500
239620067.74;600
284920998.76;700
322745563.62;800
347511204.86;900
383359943.92;1000
435837732.6;1100
469628197.6;1200
511019626.46;1300
555494824.82;1400
588436808.82;1500
