time0.2_positive;len_T
151315451.68;500
185711529.56;600
213409479.34;700
246538358.7;800
279435375.22;900
298160532.78;1000
336408544.54;1100
371310515.26;1200
423496780.16;1300
430534423.84;1400
449846980.96;1500
