time0.8_positive;len_T
161165943.74;500
183776439.12;600
216915143.76;700
234669453.28;800
278511113.68;900
297853155.44;1000
329532902.1;1100
363286924.84;1200
390849527.18;1300
419917794.04;1400
434490681.58;1500
