time0.6_positive;len_T
195666806.08;500
231900527.1;600
267103844.52;700
313932012.2;800
357740929.46;900
382964718.16;1000
422505695.96;1100
451846243.14;1200
505326840.72;1300
535154275.94;1400
567138344.34;1500
