time0.0_positive;len_T
9228936.66;500
5897661.78;600
6862720.38;700
8385098.8;800
9442551.82;900
10053820.88;1000
12107993.48;1100
24637731.04;1200
15418945.28;1300
20270302.2;1400
18094094.82;1500
