Baseline;RecordEnumeration;Snake;max_V_match_fraction
4280503.64;40357458.48;6810457.92;0.0
3820399.36;40352570.96;6842438.02;0.1
3695735.46;34011836.72;6382800.7;0.2
3739755.04;33811140.48;6417191.1;0.3
3760021.42;33996547.6;6503012.34;0.4
3824701.3;34136051.22;6475322.5;0.5
3831965.1;47616347.5;8317568.12;0.6
3805575.56;33324615.5;6332715.32;0.7
3819202.46;34347296.92;6646618.4;0.8
3891946.38;33912001.52;6687524.68;0.9
3702217.8;33382322.82;6631125.14;1.0
