Baseline;RecordEnumeration;Snake;max_V_match_fraction
2491960.26;20664799.18;4025848.64;0.0
2521669.02;20226079.2;4093180.5;0.1
2543829.02;20180685.68;4170993.78;0.2
2521639.74;20533623.72;4090569.98;0.3
2563657.38;20650325.32;4195608.56;0.4
2510317.36;20144657.98;4032264.04;0.5
2542509.92;20522193.84;4122009.12;0.6
2590570.94;20232431.26;4155666.08;0.7
2632314.98;20966066.94;4238864.66;0.8
2645992.14;20071022.96;4242704.42;0.9
2677259.3;19977227.02;4191315.88;1.0
