num_queries_positive;max_V_match_fraction
3;0.0
363.3;0.1
540.3;0.2
644.58;0.3
702.36;0.4
726.62;0.5
703.78;0.6
645.46;0.7
536.7;0.8
362.38;0.9
3;1.0
