PSU;max_V_match_fraction
16920339.44;0.0
22683053.8;0.1
28160385.68;0.2
30231056.2;0.3
29552677.24;0.4
30266182.8;0.5
29489796.4;0.6
29175065.64;0.7
26828684.58;0.8
23554835.86;0.9
19268572.52;1.0
