PSU;max_V_match_fraction
22299226.14;0.0
27431950.7;0.1
34046363.94;0.2
35759683.36;0.3
35704871.84;0.4
35304408.02;0.5
31496766.48;0.6
29959401.02;0.7
23102262.6;0.8
