PSU;max_V_match_fraction
21615879.66;0.0
28475729.9;0.1
33038537.18;0.2
34952114.48;0.3
34700693.7;0.4
34670396.76;0.5
32362847;0.6
30503353.88;0.7
23972000.4;0.8
19174659.18;0.9
