num_queries_positive;max_V_match_fraction
1;0.0
382.26;0.1
536.1;0.2
659.94;0.3
715.58;0.4
736;0.5
708.14;0.6
651.1;0.7
560.24;0.8
371.98;0.9
1;1.0
