num_queries_positive;max_V_match_fraction
1;0.0
280.96;0.1
397.46;0.2
475.38;0.3
506.5;0.4
544;0.5
512.3;0.6
480.62;0.7
395.72;0.8
280.12;0.9
1;1.0
