num_queries_positive;max_V_match_fraction
1;0.0
335.8;0.1
493.98;0.2
592.86;0.3
645.8;0.4
662.82;0.5
652.9;0.6
603.58;0.7
504.62;0.8
356.68;0.9
1;1.0
