num_queries_positive;max_V_match_fraction
1;0.0
452.92;0.1
681.02;0.2
799.14;0.3
859.02;0.4
886.68;0.5
859.36;0.6
791.82;0.7
655.62;0.8
445.68;0.9
1;1.0
