num_queries_positive;max_V_match_fraction
1;0.0
214.4;0.1
273.24;0.2
338.2;0.3
359;0.4
366.8;0.5
355.64;0.6
335.16;0.7
299.06;0.8
195.34;0.9
1;1.0
