time500_positive;max_V_match_fraction
9228936.66;0.0
126030453.26;0.1
151315451.68;0.2
185680092.26;0.3
196421495.64;0.4
199806730.6;0.5
195666806.08;0.6
186317154.66;0.7
161165943.74;0.8
110512086.16;0.9
5011478.54;1.0
