PSU;len_T
19287893.94;50000
21119510.84;60000
21019580.56;70000
24242475.36;80000
22683053.8;90000
27337468.68;100000
28475729.9;110000
27431950.7;120000
29020865.26;130000
25295151.72;140000
28118459.04;150000
