PSU;len_T
20690017.02;50000
23382564.76;60000
23387051.22;70000
26270324.72;80000
29552677.24;90000
33312335.12;100000
34700693.7;110000
35704871.84;120000
36408582.38;130000
33719985.44;140000
36981011.24;150000
