PSU;len_T
20325867.76;50000
23000959.1;60000
25126444.62;70000
29212937.88;80000
30231056.2;90000
32913210.28;100000
34952114.48;110000
35759683.36;120000
36151307.8;130000
33904797.46;140000
36042262.76;150000
