PSU;len_T
21030713.58;50000
22834911.16;60000
23715053.46;70000
28000662.54;80000
29489796.4;90000
31286039.72;100000
32362847;110000
31496766.48;120000
31151557.48;130000
31578249.3;140000
34614425.86;150000
