PSU;len_T
20518858.76;50000
22698171.46;60000
25478126.4;70000
28876355.14;80000
30266182.8;90000
32836631.54;100000
34670396.76;110000
35304408.02;120000
35386898.86;130000
33353768.7;140000
34857759.5;150000
