PSU;len_T
12747582.72;50000
14275167.82;60000
14401666.16;70000
16303270.86;80000
16920339.44;90000
20266718.2;100000
21615879.66;110000
22299226.14;120000
22298285.26;130000
20841719.66;140000
22494612.26;150000
