Baseline;RecordEnumeration;Snake;len_T
1733787.32;10735752.04;2576099.44;500
1959604.3;13101018.58;2889230.6;600
2229098.52;15658077.12;3379400.68;700
2404276.36;18763847.24;3827508.56;800
2645992.14;20071022.96;4242704.42;900
2836591.36;22966413.58;4661517.44;1000
3072836.56;25681061.8;4978214.74;1100
3305064.94;28891000.06;5525817.32;1200
3488041.5;29516508.5;5675196.5;1300
3891946.38;33912001.52;6687524.68;1400
4016757.14;33944611.16;6416279.16;1500
