Baseline;RecordEnumeration;Snake;len_T
1695331.44;10835236.62;2488795.58;500
1935819.7;13397163.32;2894591.9;600
2088025.72;15159970.38;3334827.52;700
2369157.94;17593758.26;3681245.28;800
2542509.92;20522193.84;4122009.12;900
2782197.72;22755080.22;4455100.04;1000
2961852.66;26196885.04;5119184.6;1100
3251675.86;27680268.26;5308390.44;1200
3484193.74;31444848.88;5929588.82;1300
3831965.1;47616347.5;8317568.12;1400
3966064.32;33476659.72;6360985.6;1500
