Baseline;RecordEnumeration;Snake;len_T
1976268.62;16188113.46;3713184.52;500
1896279.94;13379175.96;2904727.28;600
2099822.04;15355030.96;3190358.94;700
2312716.38;17813218.72;3614590.62;800
2521669.02;20226079.2;4093180.5;900
2667767.12;23586284.96;4634138.56;1000
2887231.74;26356211.1;4961314.2;1100
3799499.82;44930096.56;8912062.7;1200
3345632.64;31664096.88;6031407.54;1300
3820399.36;40352570.96;6842438.02;1400
3868589.28;36021456.98;6776941.18;1500
