Baseline;RecordEnumeration;Snake;len_T
1728707.52;10761218.94;2541605.02;500
1917809.24;13197357.58;2862861.94;600
2166982.18;15632461.42;3310660.18;700
2367925.96;17446970.96;3651557.52;800
2632314.98;20966066.94;4238864.66;900
2816593.08;23009591.9;4908528.16;1000
3077735.88;25501675.62;5097167.54;1100
3230816.98;28169405.88;5449253.4;1200
3489705.7;30110481.46;5918698.32;1300
3819202.46;34347296.92;6646618.4;1400
4004985.54;33802625.06;6414207.7;1500
