Baseline;RecordEnumeration;Snake;len_T
1730176.24;10869552.38;2515747.32;500
1884660.8;13314074.58;2893855.88;600
2148945.64;15440571.38;3241063.62;700
2356222.8;18087951.52;3707679.98;800
2510317.36;20144657.98;4032264.04;900
2792493.06;23418115.36;4573403.38;1000
2902592.98;25946984.16;4908781;1100
3240505.02;28702609.48;5378577.38;1200
3455938.02;31082670.66;5813459.8;1300
3824701.3;34136051.22;6475322.5;1400
3956747.3;33461510.54;6320487.16;1500
