Baseline;RecordEnumeration;Snake;len_T
1699633.8;10846527.02;2468159.9;500
1838938.02;15197629.32;3656546.36;600
2161883.86;15546117.5;3227480.86;700
2270919.08;18285676.2;3633110.76;800
2521639.74;20533623.72;4090569.98;900
2785942.54;23236013.86;4628148.48;1000
2929874.32;26132611.28;5028817.12;1100
3171694.88;28843674.64;5619662.28;1200
3441422.86;45078788.6;7723981.32;1300
3739755.04;33811140.48;6417191.1;1400
3922168.14;34640846.66;6458883.8;1500
