Baseline;RecordEnumeration;Snake;len_T
1804330.78;15798931.38;3808235.02;500
1874333.38;13234395.48;2842742.7;600
2049007.92;15382306.2;3230104.24;700
2245289.24;18104471.02;3612684.62;800
2491960.26;20664799.18;4025848.64;900
2678680.34;21948843.5;4237473.08;1000
2897339.48;25745332.74;4948711.82;1100
3682868.72;45072219.82;8677692.48;1200
3317233.48;31115068.92;5945265.84;1300
4280503.64;40357458.48;6810457.92;1400
4457401.4;35642432.6;6562519.24;1500
