Baseline;RecordEnumeration;Snake;len_T
1922010.2;15249331.78;3391818.58;500
1934610.92;13234616.8;2915148.54;600
2185695.34;15675801.26;3285997.86;700
2333176.08;17495494.3;3689120.24;800
2590570.94;20232431.26;4155666.08;900
2827535.34;23119775.3;4575139.78;1000
2999653.28;26202746.76;5319510.22;1100
3432242.06;40550614.22;7337528.24;1200
3499192.04;30526834.44;5913689.86;1300
3805575.56;33324615.5;6332715.32;1400
3982261.16;33598921.1;6462824.38;1500
