Baseline;RecordEnumeration;Snake;len_T
1673440.18;10821099.08;2426922.1;500
1914913.4;13269661.7;2865014.98;600
2141805.28;15607060.06;3200254.28;700
2217929.48;18293028.04;3637188.2;800
2543829.02;20180685.68;4170993.78;900
2680859.82;22818907.2;4444956.64;1000
2926625.3;25927785.94;4937641.58;1100
3111474.22;28024461.6;5314330.14;1200
3427719.44;31349891.56;5989719.94;1300
3695735.46;34011836.72;6382800.7;1400
3881225.26;35660722.76;6744794.38;1500
