time0.3_positive;len_T
1588489.6;500
1893711.58;600
2217125.1;700
2612283.8;800
2882612.66;900
3193737.68;1000
3520968.16;1100
3934817.22;1200
4335327.14;1300
4702154.62;1400
4984896.34;1500
