time0.4_positive;len_T
1727937.7;500
2066166.92;600
2377316.06;700
2801400.36;800
3153560.5;900
3506309.44;1000
3876617.1;1100
4267914.08;1200
4745956.36;1300
5092870.38;1400
5360040.34;1500
