time0.5_positive;len_T
1754727.98;500
2112765.42;600
2461899.96;700
2870831.26;800
3188269.62;900
3536985.06;1000
3891717.98;1100
4322534.96;1200
4749771.86;1300
5149819.8;1400
5400945.74;1500
