time0.6_positive;len_T
1684343.98;500
2031132.7;600
2385667.14;700
2794967.1;800
3094481.02;900
3413875.54;1000
3764475.06;1100
4179556.46;1200
4583697.64;1300
5096668.46;1400
5292186.58;1500
